
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Registry                        92 Services                   0     42,820 K
smss.exe                       368 Services                   0          4 K
csrss.exe                      520 Services                   0      1,760 K
wininit.exe                    632 Services                   0        404 K
services.exe                   776 Services                   0      5,856 K
lsass.exe                      788 Services                   0     12,520 K
svchost.exe                    916 Services                   0     24,976 K
fontdrvhost.exe                928 Services                   0        640 K
svchost.exe                    268 Services                   0     16,828 K
svchost.exe                    448 Services                   0      3,096 K
svchost.exe                    512 Services                   0      2,532 K
svchost.exe                    492 Services                   0      2,236 K
svchost.exe                   1032 Services                   0      5,224 K
svchost.exe                   1148 Services                   0      4,432 K
svchost.exe                   1272 Services                   0      3,952 K
svchost.exe                   1396 Services                   0      8,696 K
svchost.exe                   1412 Services                   0      6,440 K
svchost.exe                   1428 Services                   0     10,280 K
svchost.exe                   1472 Services                   0      1,788 K
svchost.exe                   1556 Services                   0      2,232 K
svchost.exe                   1724 Services                   0      7,608 K
svchost.exe                   1740 Services                   0      7,836 K
svchost.exe                   1852 Services                   0      3,288 K
svchost.exe                   1884 Services                   0      4,468 K
svchost.exe                   1900 Services                   0      2,968 K
svchost.exe                   1928 Services                   0      1,864 K
svchost.exe                   1988 Services                   0     14,836 K
svchost.exe                   1544 Services                   0      4,104 K
Memory Compression            1836 Services                   0    113,712 K
svchost.exe                   2080 Services                   0      2,604 K
svchost.exe                   2104 Services                   0      4,504 K
igfxCUIService.exe            2228 Services                   0      3,820 K
svchost.exe                   2304 Services                   0      8,524 K
svchost.exe                   2364 Services                   0      2,504 K
svchost.exe                   2376 Services                   0      1,900 K
svchost.exe                   2460 Services                   0      7,136 K
svchost.exe                   2504 Services                   0      9,120 K
svchost.exe                   2612 Services                   0      5,108 K
svchost.exe                   2680 Services                   0      4,704 K
svchost.exe                   2688 Services                   0      4,076 K
svchost.exe                   2696 Services                   0      3,240 K
svchost.exe                   2028 Services                   0      8,952 K
svchost.exe                    972 Services                   0      1,796 K
spoolsv.exe                   2936 Services                   0      2,044 K
svchost.exe                   3000 Services                   0     11,180 K
svchost.exe                   1244 Services                   0      2,372 K
svchost.exe                   1484 Services                   0      7,852 K
svchost.exe                   1504 Services                   0     19,640 K
svchost.exe                   1592 Services                   0     18,184 K
armsvc.exe                    1844 Services                   0     10,860 K
svchost.exe                   1936 Services                   0      2,184 K
svchost.exe                   2012 Services                   0      5,292 K
svchost.exe                   1652 Services                   0      1,344 K
svchost.exe                   2152 Services                   0      2,632 K
RtkBtManServ.exe              2620 Services                   0      2,732 K
svchost.exe                   2768 Services                   0      3,648 K
svchost.exe                    376 Services                   0      1,868 K
SynTPEnhService.exe           2316 Services                   0      2,380 K
svchost.exe                   2156 Services                   0      8,404 K
svchost.exe                   2400 Services                   0        984 K
svchost.exe                   3348 Services                   0      4,508 K
svchost.exe                   3464 Services                   0      2,436 K
dllhost.exe                   1780 Services                   0      4,456 K
svchost.exe                   3380 Services                   0      4,000 K
svchost.exe                   5084 Services                   0      5,716 K
svchost.exe                   1132 Services                   0     11,712 K
svchost.exe                   2992 Services                   0     10,704 K
svchost.exe                   2064 Services                   0      5,768 K
svchost.exe                   3068 Services                   0     12,416 K
MoUsoCoreWorker.exe           3680 Services                   0     15,444 K
svchost.exe                   3232 Services                   0      5,036 K
svchost.exe                   1816 Services                   0      4,732 K
svchost.exe                   4596 Services                   0      4,212 K
svchost.exe                   4820 Services                   0     12,364 K
svchost.exe                   2884 Services                   0      1,596 K
svchost.exe                   4016 Services                   0      2,264 K
svchost.exe                   5484 Services                   0     13,316 K
SecurityHealthService.exe     6600 Services                   0      5,868 K
svchost.exe                   6684 Services                   0      3,468 K
svchost.exe                   7792 Services                   0      9,132 K
AggregatorHost.exe            4728 Services                   0      4,076 K
svchost.exe                  11960 Services                   0      7,144 K
svchost.exe                   2944 Services                   0      2,808 K
svchost.exe                   6572 Services                   0        564 K
MpDefenderCoreService.exe     1380 Services                   0     11,784 K
MsMpEng.exe                  20384 Services                   0    151,104 K
