
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Registry                        92 Services                   0     41,868 K
smss.exe                       368 Services                   0          4 K
csrss.exe                      520 Services                   0      1,508 K
wininit.exe                    632 Services                   0        404 K
services.exe                   776 Services                   0      6,020 K
lsass.exe                      788 Services                   0     11,996 K
svchost.exe                    916 Services                   0     24,440 K
fontdrvhost.exe                928 Services                   0        640 K
svchost.exe                    268 Services                   0     15,940 K
svchost.exe                    448 Services                   0      3,320 K
svchost.exe                    512 Services                   0      2,580 K
svchost.exe                    492 Services                   0      2,244 K
svchost.exe                   1032 Services                   0      5,248 K
svchost.exe                   1148 Services                   0      4,756 K
svchost.exe                   1272 Services                   0      3,972 K
svchost.exe                   1396 Services                   0      8,932 K
svchost.exe                   1412 Services                   0      6,464 K
svchost.exe                   1428 Services                   0      8,344 K
svchost.exe                   1472 Services                   0      1,808 K
svchost.exe                   1556 Services                   0      2,076 K
svchost.exe                   1724 Services                   0      7,512 K
svchost.exe                   1740 Services                   0      7,540 K
svchost.exe                   1852 Services                   0      3,148 K
svchost.exe                   1884 Services                   0      3,856 K
svchost.exe                   1900 Services                   0      3,708 K
svchost.exe                   1928 Services                   0      1,760 K
svchost.exe                   1988 Services                   0     12,296 K
svchost.exe                   1544 Services                   0      3,852 K
Memory Compression            1836 Services                   0     39,304 K
svchost.exe                   2080 Services                   0      2,924 K
svchost.exe                   2104 Services                   0      4,588 K
igfxCUIService.exe            2228 Services                   0      3,820 K
svchost.exe                   2304 Services                   0      5,696 K
svchost.exe                   2364 Services                   0      2,808 K
svchost.exe                   2376 Services                   0      2,020 K
svchost.exe                   2460 Services                   0      6,612 K
svchost.exe                   2504 Services                   0      9,536 K
svchost.exe                   2612 Services                   0      4,828 K
svchost.exe                   2680 Services                   0      4,572 K
svchost.exe                   2688 Services                   0      4,964 K
svchost.exe                   2696 Services                   0      3,892 K
svchost.exe                   2028 Services                   0      8,904 K
svchost.exe                    972 Services                   0      2,816 K
spoolsv.exe                   2936 Services                   0      2,044 K
svchost.exe                   3000 Services                   0      8,556 K
svchost.exe                   1244 Services                   0      2,396 K
svchost.exe                   1484 Services                   0      7,496 K
svchost.exe                   1504 Services                   0     19,064 K
svchost.exe                   1592 Services                   0     18,636 K
armsvc.exe                    1844 Services                   0     10,844 K
svchost.exe                   1936 Services                   0      2,456 K
svchost.exe                   2012 Services                   0      5,148 K
svchost.exe                   1652 Services                   0      1,708 K
svchost.exe                   2152 Services                   0      3,036 K
RtkBtManServ.exe              2620 Services                   0      2,732 K
svchost.exe                   2768 Services                   0      3,652 K
svchost.exe                    376 Services                   0      1,864 K
SynTPEnhService.exe           2316 Services                   0      2,380 K
svchost.exe                   2156 Services                   0     10,364 K
svchost.exe                   2400 Services                   0      1,024 K
svchost.exe                   3348 Services                   0      4,908 K
svchost.exe                   3464 Services                   0      2,748 K
dllhost.exe                   1780 Services                   0      4,424 K
svchost.exe                   3380 Services                   0      3,996 K
svchost.exe                   5084 Services                   0      5,744 K
svchost.exe                   1132 Services                   0     11,860 K
svchost.exe                   2992 Services                   0     10,812 K
svchost.exe                   2064 Services                   0      5,748 K
svchost.exe                   3068 Services                   0     12,064 K
MoUsoCoreWorker.exe           3680 Services                   0     11,052 K
svchost.exe                   3232 Services                   0      4,640 K
svchost.exe                   1816 Services                   0      4,380 K
svchost.exe                   4596 Services                   0      4,280 K
svchost.exe                   4820 Services                   0     10,196 K
svchost.exe                   2884 Services                   0      1,392 K
svchost.exe                   4016 Services                   0      2,268 K
svchost.exe                   5484 Services                   0     12,980 K
SecurityHealthService.exe     6600 Services                   0      5,868 K
svchost.exe                   6684 Services                   0      2,904 K
svchost.exe                   7792 Services                   0      9,140 K
AggregatorHost.exe            4728 Services                   0      3,736 K
svchost.exe                  11960 Services                   0      7,156 K
svchost.exe                   2944 Services                   0      2,804 K
svchost.exe                   6572 Services                   0        472 K
MpDefenderCoreService.exe     1380 Services                   0     11,768 K
MsMpEng.exe                  20384 Services                   0    170,504 K
svchost.exe                   9776 Services                   0      8,468 K
csrss.exe                     6764 Console                    4      2,068 K
winlogon.exe                 15564 Console                    4      3,756 K
fontdrvhost.exe              15956 Console                    4        800 K
dwm.exe                      16580 Console                    4     19,852 K
SynTPEnh.exe                 13524 Console                    4      3,800 K
sihost.exe                    9020 Console                    4     16,864 K
svchost.exe                   3528 Console                    4     12,948 K
svchost.exe                  10800 Console                    4     16,344 K
taskhostw.exe                 8484 Console                    4      8,004 K
ctfmon.exe                    5848 Console                    4      7,000 K
SynTPHelper.exe               7100 Console                    4        244 K
igfxEM.exe                   18936 Console                    4      3,468 K
igfxHK.exe                   19424 Console                    4      1,336 K
igfxTray.exe                 14148 Console                    4      1,784 K
explorer.exe                  9044 
